name,place ID,coordinates,business types,n_restaurants,n_grocery,n_retail,n_entertainment,n_religious,n_industry
Planet Bike,ChIJ_____2peXIYRRU3U8g2DSO8,"29.49110259999999, -98.6140307","['bicycle_store', 'point_of_interest', 'store', 'establishment']",14,1,0,0,0,0
C D Tire Corporation,ChIJMbNwhzRfXIYR2T10zTPcTDk,"29.426993, -98.5113901","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Family Dollar,ChIJMf3PWBVZXIYRXopB5Hq3AYI,"29.39835129999999, -98.54957050000002","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",18,0,0,0,0,0
House of Freedom International Ministries,ChIJkQW3jwNZXIYRtOYEhb44av8,"29.3692058, -98.5492151","['church', 'place_of_worship', 'point_of_interest', 'establishment']",15,0,0,0,0,0
San Antonio First Church (SAF Church),ChIJeQ10kWdgXIYREwM-d6QCC5A,"29.5376479, -98.5185779","['church', 'place_of_worship', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Bethany Missionary Baptist Church,ChIJ9RWBLfdbXIYRRbuuNyw5a6s,"29.4136701, -98.5851664","['church', 'place_of_worship', 'point_of_interest', 'establishment']",5,0,0,0,0,0
Triple R DC Experts,ChIJXbTZhcT2XIYR6ka42VCnG-k,"29.3982208, -98.4123765","['car_repair', 'point_of_interest', 'establishment']",14,0,0,0,0,0
Golden Corral Buffet & Grill,ChIJ6ahY-t_3XIYREYedfBHYs6k,"29.3569545, -98.48377219999999","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Fiesta Fellowship,ChIJb1LSd7leXIYRF4OJ8g2UdNI,"29.435626, -98.55477599999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Discount Tire,ChIJdaT99CheXIYRsaT6tnaDFsA,"29.511381, -98.537607","['car_repair', 'point_of_interest', 'store', 'establishment']",19,0,0,0,0,0
Redemption Independent Baptist,ChIJ1_jzqbRfXIYRd6PmHjjwecQ,"29.4855213, -98.5272633","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Travis Park Church,ChIJ3YtrY1NfXIYRB3bO3cD8YEg,"29.4270748, -98.4898585","['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
JDJ Meat Distribution,ChIJER7adcX5XIYRXTRW6_duLvI,"29.3227749, -98.4282897","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4,0,0,0,0,0
John's Imports,ChIJwWg6LnVaXIYR38ACR5uvj5k,"29.3290311, -98.5936285","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",0,0,0,0,0,0
Rivas Tire & Auto Sales,ChIJGfge-LFZXIYRYxiJFn8_2Cw,"29.3642496, -98.5337169","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Destiny Church,ChIJB_9h-5tgXIYR-uOzxeT0T00,"29.52036, -98.544292","['church', 'place_of_worship', 'point_of_interest', 'establishment']",2,0,0,0,0,0
Sam's Club Tire & Battery,ChIJL1nJo3r3XIYRbPcpxFRtATk,"29.3481703, -98.43092589999999","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Three Amigos Grocery,ChIJ26d8RadeXIYRiHrpLy2qhGk,"29.4367515, -98.5715187","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",13,0,0,0,0,0
Popeyes Louisiana Kitchen,ChIJS5mqIa_2XIYRoABjAfSJu28,"29.4236539, -98.40512919999999","['restaurant', 'food', 'point_of_interest', 'establishment']",19,0,0,0,0,0
St. Paul Catholic Church,ChIJp63PBl9eXIYR5KW70VOtqJE,"29.4703082, -98.548311","['church', 'place_of_worship', 'point_of_interest', 'establishment']",2,0,0,0,0,0
Cielo Services,ChIJCYkCGzLxXIYRrFofyLcQADM,"29.3977778, -98.3916667","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Bicycle Heaven,ChIJ8aH6GGVgXIYRPVSkqaEShuQ,"29.528905, -98.518993","['bicycle_store', 'point_of_interest', 'store', 'establishment']",14,0,0,0,0,0
O'Reilly Auto Parts,ChIJBeck5Ur2XIYRma5l11Oxq9g,"29.3825187, -98.4599843","['electronics_store', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,1,0,0
Bill Miller's Laguna Madre Seafood Company,ChIJK6AxLm1YXIYRo_mz-wh1TH8,"29.3562577, -98.49730249999999","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Little Caesars Pizza,ChIJKzWCzWFaXIYRlFxJZdsziKI,"29.3465, -98.61313","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",10,0,0,0,0,0
Greer Street Church of God,ChIJZa4CzU72XIYR3THaUEiUEdU,"29.3891233, -98.4566827","['church', 'place_of_worship', 'point_of_interest', 'establishment']",13,0,0,0,0,0
Target Grocery,ChIJC29B0xlZXIYRj8B2MXKJuPc,"29.3557763, -98.54303039999999","['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Gonzalez Auto Parts #08,ChIJ70kD0_H2XIYRDDWZAqdWa10,"29.397748, -98.42985399999999","['car_repair', 'point_of_interest', 'store', 'establishment']",9,0,0,0,0,0
Trader Joe's,ChIJB11XHF71XIYRVjEdtcHwWhU,"29.496703, -98.47803019999999","['grocery_or_supermarket', 'florist', 'supermarket', 'liquor_store', 'food', 'health', 'point_of_interest', 'store', 'establishment']",20,0,1,1,0,0
San Antonio For Christ,ChIJ0W_1DeNZXIYRqse6OrPptHw,"29.3326871, -98.55937619999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",5,0,0,0,0,0
Take 5 Oil Change,ChIJZ_fGYDLxXIYRRbNnwP52muo,"29.3979908, -98.3936653","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Pedego Electric Bikes San Antonio,ChIJhTrhhN31XIYRfWj2wnnOUIc,"29.4634168, -98.4657374","['bicycle_store', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Jason's Deli,ChIJiSvJZQZgXIYRnvVboooYS2Y,"29.5213757, -98.49377170000001","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
AutoZone Auto Parts,ChIJLVrUrGdnXIYRCe2Uf3ifYzM,"29.52022879999999, -98.5965322","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Temple of God Full Gospel,ChIJ3YZAdab3XIYRLYqfS9-B3AM,"29.369028, -98.445758","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Hard Rock Cafe,ChIJpRYLVKtYXIYRkiYLb7JtPlg,"29.4252393, -98.4891711","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
