participantId,championId,teamId,kills,deaths,win
1,412,100,2,10,False
2,516,100,1,7,False
3,104,100,5,5,False
4,34,100,4,6,False
5,18,100,2,7,False
6,17,200,9,3,True
7,141,200,6,2,True
8,48,200,8,1,True
9,236,200,8,5,True
10,101,200,4,4,True
1,82,100,5,3,True
2,64,100,6,5,True
3,222,100,5,4,True
4,3,100,5,7,True
5,4,100,11,8,True
6,51,200,12,4,False
7,53,200,1,7,False
8,86,200,6,5,False
9,33,200,3,9,False
10,34,200,5,7,False
1,117,100,3,8,False
2,145,100,9,10,False
3,246,100,10,10,False
4,58,100,9,3,False
5,11,100,4,9,False
6,234,200,5,11,True
7,28,200,11,7,True
8,4,200,5,7,True
9,20,200,4,4,True
10,67,200,15,6,True
1,57,100,0,5,False
2,145,100,2,4,False
3,64,100,3,5,False
4,245,100,0,4,False
5,111,100,3,3,False
6,25,200,1,2,True
7,103,200,3,3,True
8,360,200,2,3,True
9,164,200,6,0,True
10,234,200,8,0,True
1,238,100,5,7,True
2,32,100,5,2,True
3,63,100,9,4,True
4,86,100,14,2,True
5,21,100,7,2,True
6,103,200,6,4,False
7,122,200,0,13,False
8,150,200,2,8,False
9,89,200,2,9,False
10,203,200,6,6,False
1,76,100,4,3,False
2,12,100,1,10,False
3,222,100,4,7,False
4,238,100,7,9,False
5,31,100,6,3,False
6,18,200,9,5,True
7,26,200,1,4,True
8,69,200,10,4,True
9,427,200,3,1,True
10,114,200,8,8,True
1,523,100,1,5,False
2,31,100,6,3,False
3,163,100,5,12,False
4,89,100,1,6,False
5,112,100,4,8,False
6,147,200,7,1,True
7,51,200,3,1,True
8,103,200,10,2,True
9,120,200,10,6,True
10,67,200,4,7,True
1,238,100,20,6,False
2,45,100,11,10,False
3,22,100,6,7,False
4,141,100,3,7,False
5,53,100,1,10,False
6,6,200,13,13,True
7,19,200,2,10,True
8,25,200,1,3,True
9,222,200,8,6,True
10,55,200,16,9,True
1,15,100,11,6,True
2,37,100,3,4,True
3,90,100,10,6,True
4,36,100,5,6,True
5,106,100,8,7,True
6,147,200,3,8,False
7,21,200,12,5,False
8,517,200,6,9,False
9,48,200,2,5,False
10,421,200,6,10,False
1,222,100,1,5,False
2,234,100,8,7,False
3,143,100,0,9,False
4,33,100,2,7,False
5,245,100,9,7,False
6,238,200,6,5,True
7,202,200,16,2,True
8,56,200,7,6,True
9,86,200,4,5,True
10,53,200,2,2,True
1,13,100,6,5,True
2,555,100,2,10,True
3,5,100,13,8,True
4,202,100,12,4,True
5,92,100,12,2,True
6,141,200,1,8,False
7,777,200,6,7,False
8,235,200,9,8,False
9,122,200,2,10,False
10,145,200,11,12,False
1,141,100,9,9,True
2,17,100,11,8,True
3,134,100,7,10,True
4,236,100,2,7,True
5,50,100,2,10,True
6,518,200,12,4,False
7,18,200,11,10,False
8,37,200,10,2,False
9,77,200,5,7,False
10,86,200,6,8,False
1,12,100,2,8,False
2,429,100,9,5,False
3,164,100,5,7,False
4,268,100,4,8,False
5,72,100,1,8,False
6,150,200,10,3,True
7,147,200,0,6,True
8,34,200,10,3,True
9,119,200,4,6,True
10,48,200,12,3,True
1,134,100,5,3,True
2,26,100,2,2,True
3,31,100,10,0,True
4,236,100,6,3,True
5,104,100,9,2,True
6,412,200,0,6,False
7,360,200,5,5,False
8,157,200,4,8,False
9,79,200,0,4,False
10,875,200,1,9,False
1,121,100,14,1,True
2,18,100,7,4,True
3,518,100,1,4,True
4,432,100,0,3,True
5,10,100,2,3,True
6,427,200,0,4,False
7,13,200,5,5,False
8,92,200,2,6,False
9,145,200,4,5,False
10,117,200,4,4,False
1,55,100,1,6,False
2,234,100,1,4,False
3,78,100,3,5,False
4,145,100,3,3,False
5,37,100,1,4,False
6,350,200,0,2,True
7,6,200,6,2,True
8,113,200,4,2,True
9,21,200,6,3,True
10,41,200,6,0,True
1,56,100,18,8,False
2,3,100,5,9,False
3,360,100,4,12,False
4,4,100,2,13,False
5,84,100,6,7,False
6,22,200,16,9,True
7,131,200,7,8,True
8,412,200,2,7,True
9,240,200,4,7,True
10,35,200,20,5,True
1,22,100,8,8,True
2,39,100,15,10,True
3,14,100,4,5,True
4,147,100,6,6,True
5,28,100,16,10,True
6,119,200,13,8,False
7,875,200,5,10,False
8,157,200,17,13,False
9,113,200,2,9,False
10,40,200,2,9,False
1,35,100,26,8,True
2,50,100,6,7,True
3,29,100,2,12,True
4,147,100,2,11,True
5,86,100,16,0,True
6,107,200,15,14,False
7,122,200,7,10,False
8,18,200,6,9,False
9,53,200,2,7,False
10,74,200,8,12,False
