participantId,championId,teamId,kills,deaths,win
1,234,100,13,1,True
2,266,100,6,7,True
3,161,100,4,4,True
4,103,100,0,2,True
5,15,100,9,4,True
6,31,200,4,9,False
7,11,200,4,8,False
8,876,200,3,8,False
9,6,200,6,4,False
10,63,200,1,3,False
1,14,100,13,3,True
2,83,100,2,7,True
3,51,100,8,7,True
4,40,100,6,4,True
5,33,100,4,7,True
6,777,200,9,11,False
7,254,200,8,8,False
8,147,200,2,5,False
9,110,200,4,7,False
10,114,200,4,2,False
1,26,100,0,3,False
2,555,100,3,0,False
3,427,100,2,4,False
4,67,100,0,1,False
5,23,100,2,3,False
6,246,200,7,1,True
7,19,200,1,2,True
8,75,200,1,1,True
9,50,200,0,2,True
10,145,200,2,1,True
1,266,100,2,2,True
2,517,100,2,0,True
3,412,100,1,1,True
4,56,100,2,3,True
5,360,100,15,0,True
6,41,200,1,2,False
7,202,200,2,4,False
8,28,200,2,3,False
9,13,200,1,5,False
10,117,200,0,8,False
1,141,100,3,7,False
2,67,100,1,8,False
3,31,100,4,6,False
4,432,100,2,8,False
5,55,100,4,9,False
6,412,200,0,1,True
7,875,200,8,5,True
8,222,200,2,5,True
9,28,200,16,0,True
10,777,200,12,3,True
1,777,100,3,5,False
2,81,100,9,5,False
3,23,100,1,4,False
4,36,100,4,4,False
5,50,100,1,6,False
6,234,200,13,5,True
7,7,200,4,3,True
8,222,200,2,5,True
9,54,200,3,1,True
10,40,200,2,4,True
1,89,100,0,12,True
2,83,100,0,13,True
3,5,100,2,17,True
4,18,100,26,2,True
5,142,100,6,6,True
6,518,200,5,9,False
7,117,200,5,7,False
8,81,200,9,4,False
9,77,200,11,4,False
10,122,200,20,10,False
1,107,100,14,4,True
2,84,100,10,6,True
3,81,100,5,5,True
4,80,100,5,7,True
5,516,100,3,2,True
6,55,200,8,7,False
7,54,200,3,5,False
8,67,200,3,12,False
9,147,200,1,5,False
10,76,200,8,8,False
1,222,100,3,6,False
2,412,100,1,6,False
3,83,100,3,5,False
4,9,100,1,5,False
5,62,100,2,8,False
6,21,200,7,2,True
7,28,200,9,1,True
8,23,200,2,3,True
9,147,200,1,3,True
10,103,200,11,1,True
1,157,100,1,9,False
2,163,100,4,3,False
3,98,100,0,5,False
4,18,100,3,5,False
5,50,100,1,9,False
6,59,200,6,2,True
7,222,200,9,3,True
8,57,200,1,0,True
9,34,200,14,0,True
10,63,200,1,4,True
1,145,100,17,8,True
2,201,100,2,4,True
3,107,100,18,4,True
4,103,100,5,7,True
5,68,100,3,4,True
6,246,200,4,9,False
7,234,200,8,9,False
8,18,200,9,10,False
9,38,200,4,10,False
10,432,200,2,7,False
1,141,100,3,2,True
2,67,100,11,2,True
3,92,100,7,4,True
4,90,100,4,3,True
5,161,100,0,0,True
6,35,200,0,5,False
7,107,200,4,6,False
8,114,200,4,6,False
9,498,200,3,3,False
10,45,200,0,5,False
1,267,100,1,2,True
2,41,100,13,4,True
3,202,100,5,4,True
4,11,100,7,7,True
5,3,100,9,1,True
6,147,200,1,4,False
7,110,200,5,8,False
8,80,200,3,13,False
9,19,200,6,7,False
10,90,200,3,3,False
1,150,100,3,2,True
2,145,100,6,5,True
3,432,100,0,2,True
4,48,100,3,3,True
5,90,100,11,3,True
6,79,200,4,5,False
7,875,200,0,5,False
8,117,200,1,5,False
9,67,200,5,4,False
10,104,200,5,4,False
1,222,100,2,8,False
2,27,100,7,7,False
3,122,100,5,12,False
4,99,100,1,10,False
5,5,100,7,4,False
6,81,200,6,4,True
7,518,200,10,4,True
8,56,200,12,5,True
9,147,200,7,7,True
