participantId,championId,teamId,kills,deaths,win
1,120,100,3,7,FALSE
2,412,100,1,8,FALSE
3,777,100,9,11,FALSE
4,31,100,11,9,FALSE
5,67,100,14,10,FALSE
6,90,200,6,7,TRUE
7,236,200,10,9,TRUE
8,106,200,7,6,TRUE
9,12,200,3,9,TRUE
10,77,200,19,7,TRUE
1,254,100,2,0,TRUE
2,202,100,10,3,TRUE
3,92,100,11,5,TRUE
4,266,100,2,5,TRUE
5,99,100,2,2,TRUE
6,80,200,4,3,FALSE
7,12,200,3,8,FALSE
8,245,200,3,3,FALSE
9,119,200,1,8,FALSE
10,58,200,4,5,FALSE
1,114,100,6,14,FALSE
2,222,100,2,4,FALSE
3,61,100,9,4,FALSE
4,59,100,6,6,FALSE
5,432,100,1,10,FALSE
6,523,200,11,2,TRUE
7,8,200,7,4,TRUE
8,122,200,11,8,TRUE
9,53,200,5,3,TRUE
10,77,200,4,7,TRUE
1,99,100,8,8,FALSE
2,5,100,2,8,FALSE
3,420,100,2,9,FALSE
4,143,100,3,9,FALSE
5,110,100,4,10,FALSE
6,81,200,6,7,TRUE
7,31,200,8,3,TRUE
8,33,200,11,3,TRUE
9,3,200,6,4,TRUE
10,235,200,13,3,TRUE
1,141,100,6,7,TRUE
2,80,100,8,5,TRUE
3,518,100,2,5,TRUE
4,412,100,3,7,TRUE
5,81,100,17,4,TRUE
6,90,200,0,5,FALSE
7,145,200,18,9,FALSE
8,59,200,4,7,FALSE
9,10,200,3,8,FALSE
10,350,200,3,7,FALSE
1,21,100,4,7,TRUE
2,5,100,13,6,TRUE
3,432,100,3,1,TRUE
4,115,100,5,2,TRUE
5,111,100,7,4,TRUE
6,106,200,1,6,FALSE
7,202,200,3,6,FALSE
8,555,200,8,7,FALSE
9,86,200,3,6,FALSE
10,3,200,5,7,FALSE
1,3,100,5,9,TRUE
2,17,100,6,5,TRUE
3,35,100,8,4,TRUE
4,21,100,8,5,TRUE
5,36,100,15,2,TRUE
6,15,200,8,5,FALSE
7,25,200,1,12,FALSE
8,75,200,3,5,FALSE
9,54,200,3,9,FALSE
10,86,200,10,11,FALSE
1,121,100,17,7,TRUE
2,235,100,2,3,TRUE
3,150,100,3,4,TRUE
4,517,100,5,11,TRUE
5,222,100,6,4,TRUE
6,55,200,12,8,FALSE
7,421,200,6,9,FALSE
8,145,200,8,5,FALSE
9,117,200,0,7,FALSE
10,122,200,3,4,FALSE
1,25,100,2,8,FALSE
2,222,100,6,7,FALSE
3,19,100,6,7,FALSE
4,77,100,8,6,FALSE
5,75,100,7,3,FALSE
6,56,200,10,7,TRUE
7,238,200,10,4,TRUE
8,67,200,3,7,TRUE
9,86,200,6,8,TRUE
10,267,200,2,3,TRUE
1,107,100,4,5,FALSE
2,777,100,2,8,FALSE
3,203,100,6,9,FALSE
4,29,100,6,6,FALSE
5,43,100,0,4,FALSE
6,28,200,6,4,TRUE
7,91,200,17,4,TRUE
8,555,200,3,4,TRUE
9,57,200,0,5,TRUE
10,51,200,6,1,TRUE
1,62,100,9,2,TRUE
2,99,100,4,2,TRUE
3,145,100,14,1,TRUE
4,234,100,5,5,TRUE
5,57,100,2,1,TRUE
6,36,200,3,5,FALSE
7,350,200,0,6,FALSE
8,91,200,4,10,FALSE
9,157,200,2,5,FALSE
10,110,200,2,8,FALSE
1,110,100,11,7,TRUE
2,555,100,4,6,TRUE
3,238,100,16,2,TRUE
4,60,100,6,4,TRUE
5,75,100,3,3,TRUE
6,26,200,0,8,FALSE
7,222,200,5,9,FALSE
8,24,200,3,6,FALSE
9,91,200,6,11,FALSE
10,77,200,8,6,FALSE
1,420,100,7,13,FALSE
2,131,100,2,16,FALSE
3,5,100,23,12,FALSE
4,235,100,16,13,FALSE
5,21,100,8,12,FALSE
6,31,200,14,9,TRUE
7,45,200,25,10,TRUE
8,15,200,9,13,TRUE
9,11,200,12,12,TRUE
10,111,200,6,12,TRUE
1,203,100,1,6,FALSE
2,10,100,1,2,FALSE
3,51,100,3,6,FALSE
4,25,100,1,7,FALSE
5,91,100,2,6,FALSE
6,412,200,3,1,TRUE
7,8,200,4,1,TRUE
8,20,200,8,0,TRUE
9,54,200,3,0,TRUE
10,523,200,9,6,TRUE
1,350,100,2,7,FALSE
2,11,100,15,10,FALSE
3,62,100,3,11,FALSE
4,51,100,8,9,FALSE
5,518,100,5,3,FALSE
6,59,200,7,10,TRUE
7,86,200,11,3,TRUE
8,84,200,10,3,TRUE
9,99,200,7,9,TRUE
10,15,200,5,9,TRUE
1,77,100,2,8,FALSE
2,202,100,3,6,FALSE
3,1,100,6,9,FALSE
4,150,100,5,5,FALSE
5,3,100,3,10,FALSE
6,57,200,4,6,TRUE
7,34,200,8,8,TRUE
8,235,200,9,1,TRUE
9,36,200,4,1,TRUE
